time	V(n002)
0.000000000000000e+000	2.574902e+000
1.428571428571429e-002	2.574925e+000
2.857142857142858e-002	2.574964e+000
4.285714285714287e-002	2.575020e+000
5.714285714285716e-002	2.575093e+000
7.142857142857145e-002	2.575183e+000
8.571428571428574e-002	2.575290e+000
1.000000000000000e-001	2.575413e+000
1.469762034714222e-001	2.575667e+000
2.000000000000000e-001	2.575718e+000
2.714285714285715e-001	2.575554e+000
3.428571428571429e-001	2.575413e+000
4.142857142857143e-001	2.575294e+000
4.857142857142858e-001	2.575196e+000
5.571428571428572e-001	2.575121e+000
6.285714285714286e-001	2.575068e+000
7.000000000000000e-001	2.575037e+000
7.700000000000000e-001	2.575298e+000
8.000000000000000e-001	2.575511e+000
8.560000000000001e-001	2.575771e+000
9.000000000000000e-001	2.575784e+000
1.000000000000000e+000	2.575519e+000
1.056000000000000e+000	2.575613e+000
1.100000000000000e+000	2.575846e+000
1.144800000000000e+000	2.576033e+000
1.200000000000000e+000	2.576020e+000
1.300000000000000e+000	2.575685e+000
1.319199999999999e+000	2.575696e+000
1.344799999999998e+000	2.575855e+000
1.400000000000000e+000	2.576471e+000
1.424000000000031e+000	2.576765e+000
1.456000000000072e+000	2.576929e+000
1.500000000000000e+000	2.576911e+000
1.519200000000025e+000	2.576843e+000
1.544800000000057e+000	2.576905e+000
1.600000000000000e+000	2.577328e+000
1.655999999998284e+000	2.577838e+000
1.706399999999804e+000	2.578020e+000
1.744799999998627e+000	2.577896e+000
1.800000000000000e+000	2.577543e+000
1.842857142857143e+000	2.577198e+000
1.885714285714286e+000	2.576884e+000
1.928571428571429e+000	2.576603e+000
1.971428571428572e+000	2.576354e+000
2.014285714285714e+000	2.576137e+000
2.057142857142857e+000	2.575953e+000
2.100000000000000e+000	2.575801e+000
2.170000000000000e+000	2.575895e+000
2.200000000000000e+000	2.576046e+000
2.256000000000000e+000	2.576211e+000
2.300000000000000e+000	2.576158e+000
2.344800000000000e+000	2.576118e+000
2.400000000000000e+000	2.576291e+000
2.485714285714286e+000	2.576711e+000
2.571428571428572e+000	2.577069e+000
2.657142857142857e+000	2.577363e+000
2.742857142857143e+000	2.577595e+000
2.828571428571429e+000	2.577764e+000
2.914285714285715e+000	2.577870e+000
3.000000000000000e+000	2.577914e+000
3.070000000000000e+000	2.577670e+000
3.100000000000000e+000	2.577463e+000
3.200000000000000e+000	2.576694e+000
3.244800000000000e+000	2.576577e+000
3.300000000000000e+000	2.576666e+000
3.355999999999994e+000	2.576721e+000
3.400000000000000e+000	2.576592e+000
3.500000000000000e+000	2.576084e+000
3.556000000000149e+000	2.576078e+000
3.600000000000000e+000	2.576241e+000
3.628571428571429e+000	2.576414e+000
3.657142857142857e+000	2.576575e+000
3.685714285714286e+000	2.576724e+000
3.714285714285714e+000	2.576862e+000
3.742857142857143e+000	2.576988e+000
3.771428571428571e+000	2.577103e+000
3.800000000000000e+000	2.577207e+000
3.855999999996413e+000	2.577166e+000
3.900000000000000e+000	2.576970e+000
3.928571428571428e+000	2.576781e+000
3.957142857142857e+000	2.576605e+000
3.985714285714286e+000	2.576441e+000
4.014285714285714e+000	2.576289e+000
4.042857142857143e+000	2.576150e+000
4.071428571428571e+000	2.576024e+000
4.100000000000000e+000	2.575911e+000
4.156000000086090e+000	2.575935e+000
4.200000000000000e+000	2.576120e+000
4.244800000068873e+000	2.576267e+000
4.300000000000000e+000	2.576212e+000
4.400000000000000e+000	2.575819e+000
4.444799998347063e+000	2.575828e+000
4.500000000000000e+000	2.576054e+000
4.556000049588125e+000	2.576218e+000
4.600000000000000e+000	2.576164e+000
4.700000000000000e+000	2.575785e+000
4.755998809885013e+000	2.575832e+000
4.800000000000000e+000	2.576032e+000
4.844799047908010e+000	2.576192e+000
4.900000000000000e+000	2.576150e+000
4.956028562759695e+000	2.576133e+000
5.000000000000000e+000	2.576288e+000
5.100000000000000e+000	2.576840e+000
5.155314493767330e+000	2.576866e+000
5.200000000000000e+000	2.576714e+000
5.300000000000000e+000	2.576169e+000
5.329999999999999e+000	2.576194e+000
5.369999999999999e+000	2.576473e+000
5.400000000000000e+000	2.576818e+000
5.424000000000000e+000	2.577084e+000
5.456000000000000e+000	2.577214e+000
5.500000000000000e+000	2.577154e+000
5.514285714285714e+000	2.577019e+000
5.528571428571429e+000	2.576872e+000
5.542857142857143e+000	2.576714e+000
5.557142857142857e+000	2.576544e+000
5.571428571428571e+000	2.576363e+000
5.585714285714285e+000	2.576171e+000
5.600000000000000e+000	2.575966e+000
5.623999999999997e+000	2.575719e+000
5.655999999999994e+000	2.575613e+000
5.700000000000000e+000	2.575703e+000
5.800000000000000e+000	2.576431e+000
5.856000000000143e+000	2.576528e+000
5.900000000000000e+000	2.576428e+000
6.000000000000000e+000	2.575969e+000
6.055999999996562e+000	2.575984e+000
